num,name
"US-43425","D"
"UN-40414","ZZ"
"UN-42673","II"
"UN-43442","FF"
"UN-43545","FF"
"UN-43869","ZZ"
"UN-44191","DD"
"UN-45001","T"
"UN-44187","FF"
"UN-44305","DD"
"UN-44418","DD"
"UN-44485","FF"
"UN-44514","F"
"UN-39851","FF"
"IN-43465","II"
"99-A9310","T"
"UN-43122","YY"
"UN-43236","ZZ"
"UN-40187","ZZ"
"UN-40908","FF"
"UN-36695","FF"
"UN-43542","FF"
"UN-42192","FF"
"UN-43432","D"
"UN-34013","II"
"UN-43720","D"
"UN-43724","D"
"UN-41775","YY"
"UN-43624","ZZ"
"UN-43758","FF_gcs"
"UN-43741","YY1"
"UN-43804","II"
"UN-42554","ZZ"
"UN-41281","OO"
"UN-43805","D"
"99-18246","D"
"UN-43848","ZZ"
"UN-43550","II"
"UN-43824","C_ICAN"
"UN-43900","II"
"UN-43203","ZZ"
"UN-43956","FF"
"UN-43999","FF_Federated Pmt Systems"
"WE-42165","II"
"UN-43889","ZZ"
"US-44032","FF1"
"UN-44051","FF1"
"UN-44047","C_RAE_Santa_Rosa"
"UN-43828","ZZ"
"UN-44210","DD"
"UN-44226","ZZ"
"UN-44288","DD"
"UN-44086","FF"
"UN-43507","ZZ"
"UN-44197","D"
"UN-44058","ZZ1"
"IN-44234","II"
"UN-44382","ZZ"
"UN-44092","Open English"
"UN-44091","FF1"
"UN-44447","II"
"UN-44462","II"
"UN-44483","FF"
"UN-44499","FF"
"UN-44459","FF"
"UN-43457","YY"
"UN-44522","DD"
"UN-44517","II"
"UN-44502","II"
"UN-44504","II"
"UN-44548","II"
"UN-44425","I"
"UN-44532","F"
"UN-41678","DD"
"UN-44688","II"
"UN-44675","DD"
"UN-44757","FF"
"99-00240","D"
"UN-43945","ZZ"
"UN-44576","DD"
"UN-44344","ZZ"
"99-A9311","D"
"UN-23006","FF"
"09-10023","T"
"UN-44677","DD"
"UN-38944","ZZ"
"UN-44206","ZZ"
"99-A9258","D"
"UN-44726","C_AccWorld"
"UN-44217","ZZ"
"99-A9035","ZZ"
"US-44840","DD"
"99-A9076","DD"
"UN-44650","II_ILD Corporation"
"99-A9312","D"
"UN-44959","II"
"US-44429","ZZ"
"UN-41923","KK"
"US-44972","DD"
"UN-44607","DD"
"UN-44700","FF"
"UN-44705","FF"
"UN-44892","FF_Sacramento 211 California"
"UN-45066","FF"
"UN-43771","FF"
"UN-44699","FF_Ventura 211 California"
"UN-44868","YY"
"UN-42328","YY"
"UN-45132","II"
"UN-45135","II"
"UN-44229","ZZ"
"UN-39874","QQ_Matrix Medical"
"UN-44710","LL"
"UN-45062","II"
"UN-44516","ZZ"
"US-45193","FF"
"UN-45104","FF"
"UN-45251","FF"
"UN-45420","HH"
"US-45175","FF"
"US-45190","FF"
"UN-42565","II"
"UN-44960","II"
"UN-44641","YY"
"UN-45096","QQ_Avanquest"
"UN-45186","FF"
"UN-23559","FF"
"UN-45247","DD"
"UN-39253","ZZ"
"UN-43392","ZZ"
"UN-45192","ZZ"
"UN-45347","ZZ"
"US-45355","DD"
"UN-45272","ZZ"
"UN-45195","ZZ"
"UN-45246","ZZ"
"UN-45346","ZZ"
"UN-42179","DD"
"UN-45088","ZZ1"
"US-45464","HH"
"UN-45400","ZZ"
"UN-45485","II"
"UN-45103","FF"
"UN-34666","DD"
"UN-45488","II"
"UN-45573","ZZ"
"UN-45644","II"
"UN-45523","ZZ"
"UN-45299","DD"
"UN-45179","FF"
"UN-45764","KK_invenio"
"UN-44874","ZZ"
"CA-44293","ZZ"
"UN-45637","ZZ2"
"UN-26143","MM"
"UN-45845","DD"
"UN-45875","FF"
"UN-45877","FF"
"UN-45882","FF"
"UN-45886","FF"
"UN-45879","FF"
"UN-45884","FF"
"UN-45889","FF"
"UN-45890","FF"
"UN-45888","FF"
"UN-45844","ZZ"
"UN-45880","ZZ"
"99-A9029","T"
"UN-45164","ZZ"
"UN-45383","LL"
"US-45946","II"
"UN-45951","ZZ"
"UN-45601","ZZ"
"UN-45626","ZZ"
"UN-45445","LL"
"UN-45945","C_ICAN"
"UN-46106","II"
"GE-44392","DD"
"UN-46136","DD"
"UN-46107","FF"
"UN-46199","DD"
"UN-46216","FF"
"UN-45702","ZZ"
"UN-45422","FF"
"CA-45865","FF"
"UN-46215","FF"
"UN-43421","ZZ"
"UN-45443","ZZ"
"UN-45727","ZZ"
"UN-45651","YY"
"UN-46331","ZZ"
"UN-31110","ZZ1"
"UN-46366","ZZ"
"UN-46351","DD"
"US-39590","FF"
"UN-46479","ZZ"
"UN-45911","FF"
"UN-46537","DD"
